device_id,split,action,workload_bin,background,obs_id,tau_measured_ms,tau_hat_ms,tau_residual_ms,tau_upper_ms,latency_covered,T_next_measured_C,T_next_hat_C,T_residual_C,T_upper_C,thermal_covered,joint_covered
pi3bplus,coverage,lucid_revision,n1024,B1,1433,713.651794,719.780619,-6.128825000000006,751.418525,True,36.476,36.582147554123125,-0.10614755412312604,38.18398215680138,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1434,712.898581,719.780619,-6.882037999999966,751.418525,True,36.476,36.123945136343266,0.35205486365673266,37.72577973902152,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1435,715.765103,719.780619,-4.015516000000048,751.418525,True,36.476,36.58348719697735,-0.10748719697735254,38.185321799655604,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1436,713.638005,719.780619,-6.1426139999999805,751.418525,True,36.476,36.582138813169806,-0.10613881316980667,38.18397341584806,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1437,716.802127,719.780619,-2.97849199999996,751.418525,True,36.476,36.584144574479296,-0.10814457447929726,38.18597917715755,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1438,714.6856,719.780619,-5.095018999999979,751.418525,True,36.476,36.58280289171008,-0.10680289171008184,38.18463749438833,True,True
pi3bplus,coverage,lucid_revision,n1024,B1,1439,715.256378,719.780619,-4.524240999999961,751.418525,True,36.476,36.58316471228107,-0.10716471228106883,38.18499931495932,True,True
pi3bplus,coverage,lucid_revision,n512,B1,1440,354.263087,372.673798,-18.410710999999992,404.31170399999996,True,35.938,36.34577858471838,-0.407778584718379,37.947613187396634,True,True
pi3bplus,coverage,lucid_revision,n512,B1,1441,324.153912,372.673798,-48.519885999999985,404.31170399999996,True,36.476,36.326692146750545,0.14930785324945361,37.9285267494288,True,True
pi3bplus,coverage,lucid_revision,n512,B1,1442,326.880799,372.673798,-45.79299899999995,404.31170399999996,True,36.476,36.32842074142545,0.14757925857455234,37.9302553441037,True,True
pi3bplus,coverage,lucid_revision,n512,B1,1443,323.86871,372.673798,-48.805087999999955,404.31170399999996,True,36.476,36.32651135500579,0.14948864499420722,37.928345957684044,True,True
pi3bplus,coverage,lucid_revision,n512,B1,1444,323.797566,372.673798,-48.87623199999996,404.31170399999996,True,36.476,36.326466256276156,0.14953374372384332,37.92830085895441,True,True
pi3bplus,coverage,lucid_revision,n512,B1,1445,325.929513,372.673798,-46.74428499999999,404.31170399999996,True,36.476,36.32781771390216,0.14818228609784256,37.92965231658041,True,True
pi3bplus,coverage,lucid_revision,n512,B1,1446,326.250446,372.673798,-46.423351999999966,404.31170399999996,True,36.476,36.32802115580305,0.14797884419694896,37.9298557584813,True,True
pi3bplus,coverage,lucid_revision,n512,B1,1447,333.282215,372.673798,-39.39158299999997,404.31170399999996,True,36.476,36.332478648338885,0.14352135166111424,37.93431325101714,True,True
pi3bplus,coverage,lucid_revision,n512,B1,1448,327.317307,372.673798,-45.35649099999995,404.31170399999996,True,37.014,36.78642239746618,0.2275776025338203,38.388257000144435,True,True
pi3bplus,coverage,lucid_revision,n512,B1,1449,323.350441,372.673798,-49.32335699999999,404.31170399999996,True,36.476,36.32618282029439,0.14981717970560737,37.928017422972644,True,True
pi3bplus,coverage,lucid_revision,n512,B1,1450,324.477301,372.673798,-48.196496999999965,404.31170399999996,True,37.014,36.326897145528754,0.6871028544712487,37.92873174820701,True,True
pi3bplus,coverage,lucid_revision,n512,B1,1451,323.487838,372.673798,-49.185959999999966,404.31170399999996,True,36.476,36.32626991731108,0.14973008268891874,37.92810451998933,True,True
pi3bplus,coverage,lucid_revision,n512,B1,1452,324.609747,372.673798,-48.06405099999995,404.31170399999996,True,37.014,36.3269811040684,0.687018895931601,37.928815706746654,True,True
pi3bplus,coverage,lucid_revision,n512,B1,1453,323.785073,372.673798,-48.888724999999965,404.31170399999996,True,36.476,36.78418328712428,-0.30818328712427956,38.38601788980253,True,True
pi3bplus,coverage,lucid_revision,n512,B1,1454,324.463294,372.673798,-48.21050399999996,404.31170399999996,True,36.476,36.326888266383556,0.1491117336164436,37.92872286906181,True,True
pi3bplus,coverage,lucid_revision,n512,B1,1455,324.155746,372.673798,-48.518051999999955,404.31170399999996,True,36.476,36.78441825959433,-0.3084182595943332,38.386252862272585,True,True
pi3bplus,coverage,lucid_revision,n512,B1,1456,324.484596,372.673798,-48.189201999999966,404.31170399999996,True,36.476,36.326901769885446,0.1490982301145536,37.9287363725637,True,True
