timestamp_utc,temperature_c,throttled
2026-09-10T13:11:03Z,38.459,0x0
2026-09-10T13:11:04Z,38.459,0x0
2026-09-10T13:11:05Z,39.433,0x0
2026-09-10T13:11:06Z,40.407,0x0
2026-09-10T13:11:07Z,39.433,0x0
2026-09-10T13:11:08Z,39.433,0x0
2026-09-10T13:11:09Z,38.459,0x0
2026-09-10T13:11:10Z,38.946,0x0
2026-09-10T13:11:11Z,38.946,0x0
2026-09-10T13:11:12Z,40.894,0x0
2026-09-10T13:11:13Z,41.381,0x0
2026-09-10T13:11:14Z,40.894,0x0
2026-09-10T13:11:15Z,41.381,0x0
2026-09-10T13:11:16Z,40.894,0x0
2026-09-10T13:11:17Z,40.894,0x0
2026-09-10T13:11:19Z,39.92,0x0
2026-09-10T13:11:20Z,38.459,0x0
2026-09-10T13:11:21Z,39.433,0x0
2026-09-10T13:11:22Z,38.459,0x0
2026-09-10T13:11:23Z,37.485,0x0
2026-09-10T13:11:24Z,38.946,0x0
2026-09-10T13:11:25Z,37.972,0x0
2026-09-10T13:11:26Z,38.459,0x0
2026-09-10T13:11:27Z,38.459,0x0
2026-09-10T13:11:28Z,38.946,0x0
2026-09-10T13:11:29Z,39.92,0x0
2026-09-10T13:11:30Z,38.946,0x0
2026-09-10T13:11:31Z,40.894,0x0
2026-09-10T13:11:32Z,40.407,0x0
2026-09-10T13:11:33Z,41.381,0x0
2026-09-10T13:11:34Z,40.894,0x0
2026-09-10T13:11:35Z,40.894,0x0
2026-09-10T13:11:36Z,39.92,0x0
2026-09-10T13:11:37Z,39.92,0x0
2026-09-10T13:11:38Z,40.407,0x0
2026-09-10T13:11:39Z,39.92,0x0
2026-09-10T13:11:40Z,39.92,0x0
2026-09-10T13:11:41Z,39.92,0x0
2026-09-10T13:11:42Z,39.433,0x0
2026-09-10T13:11:43Z,40.407,0x0
2026-09-10T13:11:44Z,39.92,0x0
2026-09-10T13:11:45Z,38.459,0x0
2026-09-10T13:11:46Z,37.972,0x0
2026-09-10T13:11:47Z,37.972,0x0
2026-09-10T13:11:48Z,37.972,0x0
2026-09-10T13:11:49Z,37.972,0x0
2026-09-10T13:11:50Z,37.972,0x0
2026-09-10T13:11:51Z,37.485,0x0
2026-09-10T13:11:52Z,38.459,0x0
2026-09-10T13:11:53Z,37.972,0x0
2026-09-10T13:11:54Z,37.972,0x0
2026-09-10T13:11:55Z,37.972,0x0
2026-09-10T13:11:56Z,36.998,0x0
2026-09-10T13:11:57Z,38.946,0x0
2026-09-10T13:11:58Z,37.972,0x0
2026-09-10T13:11:59Z,38.459,0x0
2026-09-10T13:12:00Z,38.459,0x0
2026-09-10T13:12:01Z,38.946,0x0
2026-09-10T13:12:02Z,38.459,0x0
2026-09-10T13:12:03Z,38.459,0x0
2026-09-10T13:12:04Z,37.972,0x0
2026-09-10T13:12:05Z,38.459,0x0
2026-09-10T13:12:06Z,38.459,0x0
2026-09-10T13:12:07Z,38.459,0x0
2026-09-10T13:12:08Z,37.485,0x0
2026-09-10T13:12:09Z,37.485,0x0
2026-09-10T13:12:10Z,37.972,0x0
2026-09-10T13:12:11Z,36.024,0x0
2026-09-10T13:12:12Z,36.511,0x0
2026-09-10T13:12:13Z,36.511,0x0
2026-09-10T13:12:14Z,37.485,0x0
2026-09-10T13:12:15Z,37.485,0x0
