device_id,split,action,workload_bin,background,obs_id,tau_measured_ms,tau_hat_ms,tau_residual_ms,T_next_measured_C,T_next_hat_C,T_residual_C
pi3bplus,fit,oi_svdd_as_elm_revision,n1,B0,159,3.316205,4.421503,-1.1052980000000003,33.248,33.66149813420117,-0.4134981342011699
pi3bplus,fit,fisvdd_revision,n1024,B1,160,91.522977,91.522977,0.0,34.324,33.923981126976436,0.4000188730235621
pi3bplus,fit,fisvdd_revision,n1024,B1,161,86.767782,91.522977,-4.7551950000000005,34.324,34.37869172249302,-0.05469172249302545
pi3bplus,fit,fisvdd_revision,n1024,B1,162,84.238597,91.522977,-7.284379999999999,33.786,33.9193635023818,-0.13336350238179762
pi3bplus,fit,fisvdd_revision,n1024,B1,163,84.208753,91.522977,-7.314223999999996,34.324,34.377069534297355,-0.05306953429735728
pi3bplus,fit,fisvdd_revision,n1024,B1,164,85.256187,91.522977,-6.26679,34.862,34.37773351077849,0.48426648922151116
pi3bplus,fit,fisvdd_revision,n1024,B1,165,84.036934,91.522977,-7.486042999999995,34.862,34.834685567166765,0.027314432833236424
pi3bplus,fit,fisvdd_revision,n1024,B1,166,86.170029,91.522977,-5.352947999999998,34.324,33.9205878520047,0.40341214799529723
pi3bplus,fit,fisvdd_revision,n1024,B1,167,83.877821,91.522977,-7.645156,34.324,33.91913480369629,0.4048651963037102
pi3bplus,fit,fisvdd_revision,n1024,B1,168,85.209002,91.522977,-6.313974999999999,34.324,34.377703599843514,-0.053703599843515804
pi3bplus,fit,fisvdd_revision,n1024,B1,169,83.946623,91.522977,-7.576353999999995,33.786,34.376903368071126,-0.5909033680711246
pi3bplus,fit,fisvdd_revision,n1024,B1,170,84.056204,91.522977,-7.466773000000003,34.324,34.37697283231115,-0.052972832311148466
pi3bplus,fit,fisvdd_revision,n1024,B1,171,83.928654,91.522977,-7.594323000000003,33.786,34.83461692764067,-1.0486169276406656
pi3bplus,fit,fisvdd_revision,n1024,B1,172,84.258963,91.522977,-7.264014000000003,34.324,34.834826313060184,-0.5108263130601856
pi3bplus,fit,fisvdd_revision,n1024,B1,173,85.111243,91.522977,-6.411733999999996,34.324,34.37764162966037,-0.053641629660369006
pi3bplus,fit,fisvdd_revision,n1024,B1,174,83.891467,91.522977,-7.631509999999992,34.324,34.376868404257856,-0.05286840425785755
pi3bplus,fit,fisvdd_revision,n1024,B1,175,84.013184,91.522977,-7.509793000000002,34.324,34.37694556160176,-0.052945561601760005
pi3bplus,fit,fisvdd_revision,n1024,B1,176,86.058314,91.522977,-5.464663000000002,34.324,34.37824198526269,-0.05424198526269208
pi3bplus,fit,fisvdd_revision,n1024,B1,177,84.109017,91.522977,-7.413960000000003,34.324,34.83473126113573,-0.5107312611357315
pi3bplus,fit,fisvdd_revision,n1024,B1,178,83.912146,91.522977,-7.61083099999999,34.324,34.37688151283525,-0.05288151283524911
pi3bplus,fit,fisvdd_revision,n1024,B1,179,84.082143,91.522977,-7.440833999999995,34.862,34.834714225500115,0.02728577449988734
pi3bplus,fit,fisvdd_revision,n1024,B1,180,83.940269,91.522977,-7.582707999999997,35.4,34.376899340221584,1.0231006597784145
pi3bplus,fit,fisvdd_revision,n1024,B1,181,84.033966,91.522977,-7.489010999999991,34.862,34.834683685728706,0.027316314271295994
pi3bplus,fit,fisvdd_revision,n1024,B1,182,84.21136,91.522977,-7.311616999999998,34.862,34.37707118689473,0.48492881310527025
pi3bplus,fit,fisvdd_revision,n1024,B1,183,84.206881,91.522977,-7.316096000000002,34.324,34.834793297879195,-0.5107932978791965
pi3bplus,fit,fisvdd_revision,n1024,B1,184,84.079226,91.522977,-7.443750999999992,34.324,34.376987426134285,-0.052987426134286864
pi3bplus,fit,fisvdd_revision,n1024,B1,185,84.076465,91.522977,-7.4465119999999985,34.324,34.83471062617218,-0.5107106261721839
pi3bplus,fit,fisvdd_revision,n1024,B1,186,85.819151,91.522977,-5.703825999999992,34.862,34.83581532825174,0.026184671748261223
pi3bplus,fit,fisvdd_revision,n1024,B1,187,83.823241,91.522977,-7.6997360000000015,34.862,34.83455010552796,0.027449894472042047
pi3bplus,fit,fisvdd_revision,n1024,B1,188,83.71569,91.522977,-7.807287000000002,34.324,34.834481928120574,-0.5104819281205764
pi3bplus,fit,fisvdd_revision,n1024,B1,189,83.913812,91.522977,-7.609165000000004,34.862,34.83460751918254,0.027392480817461262
